index year month day hour minute second azi_deg azi_min azi_sec pol_deg pol_min pol_sec size_deg size_min size_sec
156 0 2 29 13 43 2.08 -134 50 23.30 -20 55 23.29 0 30 24.81
157 0 2 29 22 3 2.08 -29 18 14.50 67 50 22.43 0 30 33.18
158 0 3 1 6 23 2.08 118 40 30.30 -6 31 29.01 0 30 41.80
159 0 3 1 14 43 2.08 -124 9 8.50 -11 47 10.96 0 30 50.92
160 0 3 1 23 3 2.08 9 17 16.27 70 19 22.30 0 31 0.52
161 0 3 2 7 23 2.08 129 6 41.33 -15 46 24.09 0 31 10.32
162 0 3 2 15 43 2.08 -114 50 22.43 -1 30 2.17 0 31 20.59
163 0 3 3 0 3 2.08 44 12 21.94 65 18 57.11 0 31 31.24
164 0 3 3 8 23 2.08 141 16 33.20 -23 41 5.94 0 31 42.01
165 0 3 3 16 43 2.08 -106 21 30.69 9 36 3.61 0 31 53.20
166 0 3 4 1 3 2.08 65 40 31.83 55 54 34.98 0 32 4.64
167 0 3 4 9 23 2.08 155 32 56.98 -29 35 34.65 0 32 16.11
168 0 3 4 17 43 2.08 -98 8 34.87 21 16 24.04 0 32 27.93
169 0 3 5 2 3 2.08 79 27 35.46 44 45 39.83 0 32 39.83
170 0 3 5 10 23 2.08 171 45 22.77 -32 43 32.54 0 32 51.67
171 0 3 5 18 43 2.08 -89 30 3.59 33 18 14.99 0 33 3.74
172 0 3 6 3 3 2.08 89 52 32.66 32 55 58.38 0 33 15.70
173 0 3 6 11 23 2.08 -171 9 52.50 -32 28 43.45 0 33 27.49
174 0 3 6 19 43 2.08 -79 19 33.13 45 26 15.81 0 33 39.37
175 0 3 7 4 3 2.08 98 57 59.29 20 53 57.61 0 33 50.91
176 0 3 7 12 23 2.08 -154 47 45.49 -28 45 24.14 0 34 2.17
177 0 3 7 20 43 2.08 -65 17 38.06 57 12 6.16 0 34 13.33
178 0 3 8 5 3 2.08 107 50 27.87 8 58 49.68 0 34 23.94
179 0 3 8 13 23 2.08 -140 16 38.66 -22 1 3.47 0 34 34.13
180 0 3 8 21 43 2.08 -41 37 40.86 67 19 6.15 0 34 44.01
181 0 3 9 6 3 2.08 117 17 3.87 -2 29 37.76 0 34 53.13
182 0 3 9 14 23 2.08 -127 51 3.93 -12 58 26.55 0 35 1.71
183 0 3 9 22 43 2.08 0 16 47.26 71 58 50.35 0 35 9.76
184 0 3 10 7 3 2.08 128 0 14.69 -13 5 21.02 0 35 16.85
185 0 3 10 15 23 2.08 -117 8 57.65 -2 18 11.03 0 35 23.31
186 0 3 10 23 43 2.08 42 20 25.52 67 10 47.66 0 35 29.02
187 0 3 11 8 3 2.08 140 40 55.24 -22 11 15.83 0 35 33.64
188 0 3 11 16 23 2.08 -107 34 33.46 9 27 21.82 0 35 37.55
189 0 3 12 0 43 2.08 66 14 57.59 56 43 57.16 0 35 40.54
190 0 3 12 9 3 2.08 155 46 55.85 -28 56 56.80 0 35 42.37
191 0 3 12 17 23 2.08 -98 27 17.67 21 53 1.20 0 35 43.46
192 0 3 13 1 43 2.08 80 35 16.43 44 27 31.14 0 35 43.51
193 0 3 13 10 3 2.08 173 2 4.58 -32 25 55.72 0 35 42.42
